record_id,plant,line_id,machine_id,shift,operator_experience_years,material_batch,ambient_temp_c,ambient_humidity_pct,vibration_rms,pressure_bar,feed_rate_mm_s,laser_power_w,coolant_flow_l_min,thickness_mm,tensile_strength_mpa,surface_roughness_um,defect_flag,defect_type,rework_needed
1,Plant_A,L3,M07,evening,5.27,B090,23.74,67.9,0.981,5.078,19.46,303.8,7.63,1.216,516.53,2.68,0,none,0
2,Plant_A,L1,M18,night,1.61,B122,19.0,34.8,1.29,4.8,26.58,376.6,6.53,1.285,537.07,2.814,0,none,0
3,Plant_A,L4,M10,evening,8.35,B071,19.85,50.4,0.871,5.642,23.92,328.9,6.22,1.22,539.2,2.139,0,none,0
4,Plant_C,L3,M01,evening,4.66,B069,21.32,34.8,0.995,5.282,21.41,323.1,7.47,1.204,541.54,2.197,0,none,0
5,Plant_A,L1,M08,evening,6.77,B141,24.88,32.7,0.697,5.048,14.98,341.2,4.32,1.216,594.15,1.339,0,none,0
6,Plant_C,L3,M13,day,0.0,B049,20.53,90.0,1.279,4.019,23.57,384.1,5.75,1.146,511.26,2.555,0,none,0
7,Plant_A,L2,M15,evening,9.39,B056,23.92,48.0,1.528,4.427,23.27,350.1,6.7,1.217,559.73,2.597,0,none,0
8,Plant_A,L1,M14,day,7.05,B052,28.65,55.1,1.353,6.313,26.27,340.1,6.62,1.228,530.13,2.734,1,warp,1
9,Plant_B,L3,M06,night,7.68,B051,19.41,41.9,0.845,5.887,30.45,307.2,8.89,1.09,543.2,1.67,0,none,0
10,Plant_B,L1,M07,evening,1.8,B017,23.24,44.7,2.688,4.792,24.39,327.3,8.05,1.104,513.36,3.533,0,none,0
11,Plant_C,L3,M07,day,13.73,B048,31.86,51.2,0.925,5.328,25.61,352.7,6.82,1.122,590.26,2.001,0,none,0
12,Plant_A,L3,M03,night,4.04,B001,18.72,40.6,1.466,6.233,21.67,298.4,7.31,1.249,514.07,2.543,0,none,0
13,Plant_C,L3,M12,evening,6.71,B067,22.75,60.5,0.804,5.076,19.57,373.8,7.49,1.14,564.96,2.1,0,none,0
14,Plant_C,L4,M08,day,6.67,B080,24.21,57.9,0.885,5.201,21.24,329.8,7.83,1.229,530.01,1.366,0,none,0
15,Plant_B,L2,M07,evening,10.35,B017,17.75,55.5,1.16,4.884,20.41,320.1,9.37,1.242,542.85,1.866,0,none,0
16,Plant_A,L3,M15,day,5.15,B013,23.17,41.6,0.475,5.337,26.55,327.3,7.61,1.265,523.28,1.422,0,none,0
17,Plant_B,L3,M17,evening,11.03,B149,26.83,27.3,0.856,4.889,25.17,309.2,9.34,1.186,591.65,1.352,0,none,0
18,Plant_C,L1,M03,evening,8.0,B099,21.69,60.7,0.619,5.479,15.31,373.5,7.96,1.373,601.63,1.886,0,none,0
19,Plant_B,L1,M10,day,4.22,B123,14.21,55.3,0.926,5.071,20.18,266.6,8.56,1.044,498.23,2.57,0,none,0
20,Plant_A,L4,M06,day,3.95,B056,28.82,45.2,1.025,4.786,22.07,409.5,7.02,1.135,621.05,2.539,0,none,0
21,Plant_A,L3,M10,day,4.24,B088,26.36,54.4,0.967,6.146,18.81,402.5,7.97,1.051,595.96,2.129,0,none,0
22,Plant_C,L1,M10,evening,9.14,B060,19.71,59.2,0.904,4.979,24.42,398.2,6.79,1.258,599.7,2.147,1,crack,1
23,Plant_A,L1,M17,evening,4.89,B008,22.91,68.3,1.849,6.169,25.51,345.3,7.11,1.311,520.62,2.01,0,none,0
24,Plant_B,L3,M11,day,3.76,B111,19.83,51.2,0.874,6.062,22.94,314.6,8.85,1.201,542.02,2.144,0,none,0
25,Plant_A,L2,M06,day,6.59,B064,25.59,59.6,0.679,5.325,32.06,346.8,9.14,1.199,528.64,1.504,0,none,0
26,Plant_A,L1,M20,night,0.21,B131,24.31,44.9,0.825,5.457,35.57,418.2,8.27,1.173,523.52,1.97,0,none,0
27,Plant_C,L4,M18,day,6.21,B111,19.29,67.7,1.116,4.943,18.21,385.7,8.32,1.196,568.95,2.254,0,none,0
28,Plant_A,L3,M03,day,13.26,B057,22.48,46.5,1.238,5.479,21.88,315.3,6.3,1.196,595.73,2.174,0,none,0
29,Plant_B,L3,M15,day,7.26,B106,19.99,40.5,0.759,4.921,23.26,378.5,5.54,1.245,589.3,2.28,0,none,0
30,Plant_B,L2,M11,day,8.95,B020,23.04,62.8,1.274,5.537,16.36,266.6,6.39,1.243,520.74,2.52,0,none,0
31,Plant_A,L1,M01,day,9.28,B131,24.93,39.7,0.867,4.329,26.35,326.7,8.83,1.261,597.23,2.007,0,none,0
32,Plant_A,L4,M02,evening,0.21,B132,22.14,61.5,0.732,6.435,14.35,369.2,7.56,1.253,518.05,2.585,0,none,0
